date,equity,cash,long_market_value,short_market_value,gross_leverage,buying_power,n_positions,n_fills
2026-07-07,100000.0,100000.0,0.0,0.0,0.0,400000.0,0,0
2026-07-08,100000.0,100000.0,0.0,0.0,0.0,400000.0,0,0
2026-07-09,100000.0,100000.0,0.0,0.0,0.0,400000.0,0,0
2026-07-10,100000.0,100000.0,0.0,0.0,0.0,400000.0,0,0
2026-07-13,100000.0,100000.0,0.0,0.0,0.0,400000.0,0,0
2026-07-14,100000.0,100000.0,0.0,0.0,0.0,400000.0,0,0
